Date,AH1N1,AH3,Aotro,Atotal,Byamagata,Bvictoria,Botro,Btotal,Positivos,Negativos,Total
2017-01-02,87,4,19,110,7,0,21,28,138,422,560
2017-01-09,65,8,21,94,8,3,18,29,123,335,458
2017-01-16,96,22,15,133,8,1,17,26,159,388,547
2017-01-23,133,25,34,192,12,1,26,39,231,480,711
2017-01-30,200,32,27,259,13,4,23,40,299,563,862
2017-02-06,194,45,29,268,18,3,26,47,315,528,843
2017-02-13,218,70,22,310,27,5,43,75,385,504,889
2017-02-20,253,105,47,405,23,4,63,90,495,525,1020
2017-02-27,354,158,41,553,29,6,87,122,675,702,1377
2017-03-06,312,146,26,484,29,2,102,133,617,730,1347
2017-03-13,157,159,32,348,33,4,108,145,493,631,1124
2017-03-20,111,102,15,228,25,0,66,91,319,534,853
2017-03-27,94,98,8,200,31,2,68,101,301,500,801
2017-04-03,40,63,5,108,27,2,35,64,172,361,533
2017-04-10,21,50,4,75,10,0,39,49,124,255,379
2017-04-17,21,43,2,66,6,1,30,37,103,292,395
2017-04-24,12,33,2,47,8,2,32,42,89,316,405
2017-05-01,11,19,2,32,7,3,19,29,61,215,276
2017-05-08,5,17,0,22,2,2,11,15,37,250,287
2017-05-15,4,31,0,35,4,0,3,7,42,241,283
2017-05-22,0,12,3,15,1,2,4,7,22,215,237
2017-05-29,1,9,0,10,2,6,3,11,21,151,172
2017-06-05,4,11,0,15,2,5,2,9,24,143,167
2017-06-12,0,17,0,17,4,0,2,6,23,163,186
2017-06-19,1,23,0,24,1,1,0,2,26,157,183
2017-06-26,0,29,2,31,0,0,3,3,34,136,170
2017-07-03,0,31,2,33,1,0,0,1,34,165,199
2017-07-10,0,15,0,15,0,0,3,3,18,125,143
2017-07-17,0,23,1,24,0,0,2,2,26,148,174
2017-07-24,0,12,1,13,0,0,0,0,13,144,157
2017-07-31,0,14,0,14,1,1,0,2,16,147,163
2017-08-07,1,24,1,26,0,0,8,8,34,226,260
2017-08-14,1,15,0,16,1,0,0,1,17,166,183
2017-08-21,0,7,0,7,0,0,0,0,7,218,225
2017-08-28,0,13,0,13,1,0,1,2,15,225,240
2017-09-04,0,10,0,10,0,1,1,2,12,285,297
2017-09-11,1,6,0,7,1,2,0,3,10,319,329
2017-09-18,0,9,0,9,0,2,0,2,11,291,302
2017-09-25,0,10,0,10,1,0,1,2,12,353,365
2017-10-02,0,9,0,9,1,1,1,3,12,370,382
2017-10-09,0,17,0,17,1,0,0,1,18,429,447
2017-10-16,0,12,0,12,1,1,1,3,15,405,420
2017-10-23,0,22,0,22,5,3,4,12,34,610,644
2017-10-30,0,25,0,25,1,3,5,9,34,660,694
2017-11-06,0,12,1,13,0,2,3,5,18,343,361
2017-11-13,0,14,0,14,1,2,4,7,21,324,345
2017-11-20,0,23,2,25,0,0,2,2,27,351,378
2017-11-27,0,27,2,29,0,2,10,12,41,357,398
2017-12-04,0,60,11,71,2,2,8,12,83,402,485
2017-12-11,2,86,5,93,5,8,12,25,118,431,549
2017-12-18,4,145,11,160,0,10,19,29,189,385,574
2017-12-25,4,152,9,165,1,5,12,18,183,274,457
2018-01-01,1,173,9,183,4,8,12,24,207,382,589
2018-01-08,10,246,6,262,3,8,19,30,292,478,770
2018-01-15,16,282,6,304,14,9,16,39,343,575,918
2018-01-22,23,282,9,314,9,11,32,52,366,516,882
2018-01-29,25,165,17,207,6,14,26,46,253,458,711
2018-02-05,40,137,10,187,12,21,36,69,256,528,784
2018-02-12,35,84,14,133,15,17,40,72,205,461,666
2018-02-19,33,72,12,117,23,18,46,87,204,457,661
2018-02-26,36,26,6,68,8,15,28,51,119,494,613
2018-03-05,27,27,8,62,15,11,30,56,118,477,595
2018-03-12,25,7,4,36,12,11,23,46,82,411,493
2018-03-19,20,8,2,30,7,9,17,33,63,390,453
2018-03-26,9,6,3,18,9,7,4,20,38,300,338
2018-04-02,8,3,1,12,4,5,12,21,33,319,352
2018-04-09,17,4,1,22,7,5,8,20,42,282,324
2018-04-16,5,1,1,7,4,2,10,16,23,294,317
2018-04-23,9,1,2,12,2,4,8,14,26,252,278
2018-04-30,8,1,1,10,3,2,8,13,23,253,276
2018-05-07,3,2,0,5,2,1,8,11,16,254,270
2018-05-14,18,0,1,19,3,3,2,8,27,246,273
2018-05-21,5,2,0,7,6,1,2,9,16,234,250
2018-05-28,15,0,0,15,4,2,1,7,22,243,265
2018-06-04,12,0,1,13,6,2,4,12,25,232,257
2018-06-11,17,0,3,20,1,0,3,4,24,203,227
2018-06-18,28,0,2,30,3,1,1,5,35,203,238
2018-06-25,51,1,0,52,5,2,2,9,61,204,265
2018-07-02,111,2,2,115,7,0,2,9,124,228,352
2018-07-09,133,3,5,141,6,1,3,10,151,289,440
2018-07-16,98,3,3,104,11,1,2,14,118,247,365
2018-07-23,54,2,3,59,11,0,0,11,70,237,307
2018-07-30,34,0,1,35,4,3,1,8,43,201,244
2018-08-06,20,2,1,23,6,2,1,9,32,218,250
